image_key,class
10_O_4.jpg,0
10_O_6.jpg,0
10_O_8.jpg,0
11_O_1.jpg,1
11_O_2.jpg,1
11_O_6.jpg,0
11_O_8.jpg,1
12_O_1.jpg,1
12_O_2.jpg,1
12_O_4.jpg,1
12_O_8.jpg,0
13_O_1.jpg,0
13_O_2.jpg,0
13_O_4.jpg,1
13_O_8.jpg,0
14_O_1.jpg,1
14_O_2.jpg,1
14_O_4.jpg,1
14_O_6.jpg,1
15_O_1.jpg,0
15_O_2.jpg,0
15_O_4.jpg,0
15_O_6.jpg,0
15_O_8.jpg,0
16_O_2.jpg,0
16_O_4.jpg,0
16_O_6.jpg,1
16_O_8.jpg,1
17_O_2.jpg,1
17_O_4.jpg,1
17_O_6.jpg,1
10_O_10.jpg,0
10_O_3.jpg,0
11_O_10.jpg,0
11_O_5.jpg,1
11_O_9.jpg,1
12_O_3.jpg,1
12_O_7.jpg,0
13_O_5.jpg,1
13_O_9.jpg,0
14_O_3.jpg,1
14_O_7.jpg,1
15_O_5.jpg,0
15_O_9.jpg,0
16_O_3.jpg,0
16_O_7.jpg,1
17_O_10.jpg,1
10_O_5.jpg,0
11_O_3.jpg,1
12_O_10.jpg,1
12_O_9.jpg,1
13_O_7.jpg,0
15_O_3.jpg,0
16_O_10.jpg,1
16_O_9.jpg,1
10_O_9.jpg,0
14_O_10.jpg,1
15_O_7.jpg,0
17_O_3.jpg,1
11_O_7.jpg,1
14_O_9.jpg,1
16_O_5.jpg,0
5_O_8.jpg,0
17_O_9.jpg,1
18_O_10.jpg,0
18_O_3.jpg,1
18_O_5.jpg,1
18_O_7.jpg,1
19_O_10.jpg,1
19_O_3.jpg,1
19_O_5.jpg,1
19_O_7.jpg,1
1_O_10.jpg,0
1_O_3.jpg,0
1_O_5.jpg,0
1_O_7.jpg,0
1_O_9.jpg,0
2_O_3.jpg,1
2_O_5.jpg,1
2_O_7.jpg,0
2_O_9.jpg,0
3_O_10.jpg,1
3_O_5.jpg,1
3_O_7.jpg,1
3_O_9.jpg,1
4_O_10.jpg,0
4_O_5.jpg,0
4_O_7.jpg,0
4_O_9.jpg,0
5_O_10.jpg,0
5_O_4.jpg,0
5_O_9.jpg,0
6_O_10.jpg,0
6_O_3.jpg,1
6_O_5.jpg,1
6_O_7.jpg,1
7_O_10.jpg,0
7_O_3.jpg,0
7_O_5.jpg,0
7_O_7.jpg,0
8_O_10.jpg,0
8_O_3.jpg,0
8_O_5.jpg,0
8_O_7.jpg,0
8_O_9.jpg,0
9_O_2.jpg,1
9_O_4.jpg,1
9_O_6.jpg,1
9_O_8.jpg,1
18_O_1.jpg,1
18_O_8.jpg,1
19_O_2.jpg,1
19_O_6.jpg,1
1_O_1.jpg,0
1_O_8.jpg,0
2_O_2.jpg,1
2_O_6.jpg,0
3_O_1.jpg,1
3_O_4.jpg,1
4_O_2.jpg,0
4_O_6.jpg,0
5_O_1.jpg,0
5_O_3.jpg,0
5_O_7.jpg,0
6_O_6.jpg,1
7_O_1.jpg,0
7_O_4.jpg,0
7_O_8.jpg,0
8_O_6.jpg,0
9_O_10.jpg,1
9_O_5.jpg,1
9_O_9.jpg,1
17_O_8.jpg,1
19_O_1.jpg,1
19_O_8.jpg,1
1_O_6.jpg,0
2_O_4.jpg,1
3_O_2.jpg,1
4_O_8.jpg,0
5_O_5.jpg,1
6_O_4.jpg,1
7_O_2.jpg,0
8_O_8.jpg,0
9_O_7.jpg,1
18_O_6.jpg,1
1_O_2.jpg,0
2_O_8.jpg,1
6_O_1.jpg,1
7_O_6.jpg,1
9_O_3.jpg,1
19_O_4.jpg,1
2_O_1.jpg,1
8_O_4.jpg,0
3_O_6.jpg,1
6_O_8.jpg,1
10_O_1.jpg,0
10_O_2.jpg,0
11_O_4.jpg,1
12_O_6.jpg,0
13_O_6.jpg,0
14_O_8.jpg,1
16_O_1.jpg,0
17_O_1.jpg,1
17_O_7.jpg,1
18_O_9.jpg,1
19_O_9.jpg,1
2_O_10.jpg,0
3_O_3.jpg,1
4_O_3.jpg,0
5_O_6.jpg,0
6_O_9.jpg,1
7_O_9.jpg,0
9_O_1.jpg,1
10_O_7.jpg,0
13_O_10.jpg,0
15_O_10.jpg,0
17_O_5.jpg,1
18_O_4.jpg,1
1_O_4.jpg,0
3_O_8.jpg,1
6_O_2.jpg,1
8_O_2.jpg,0
14_O_5.jpg,1
18_O_2.jpg,1
4_O_1.jpg,0
8_O_1.jpg,0
12_O_5.jpg,1
4_O_4.jpg,1
5_O_2.jpg,0
13_O_3.jpg,1
