image_key,class,annotator
intestine_anastomosis_10_1.jpg,1,aa_ermak
intestine_anastomosis_10_3.jpg,1,aa_ermak
intestine_anastomosis_10_5.jpg,0,aa_ermak
intestine_anastomosis_10_2.jpg,0,aa_ermak
intestine_anastomosis_11_1.jpg,0,aa_ermak
intestine_anastomosis_11_3.jpg,0,aa_ermak
intestine_anastomosis_11_5.jpg,1,aa_ermak
intestine_anastomosis_12_2.jpg,1,aa_ermak
intestine_anastomosis_12_4.jpg,0,aa_ermak
intestine_anastomosis_13_1.jpg,0,aa_ermak
intestine_anastomosis_13_3.jpg,0,aa_ermak
intestine_anastomosis_13_5.jpg,0,aa_ermak
intestine_anastomosis_14_2.jpg,0,aa_ermak
intestine_anastomosis_14_4.jpg,1,aa_ermak
intestine_anastomosis_10_4.jpg,0,aa_ermak
intestine_anastomosis_11_4.jpg,0,aa_ermak
intestine_anastomosis_12_3.jpg,1,aa_ermak
intestine_anastomosis_13_2.jpg,0,aa_ermak
intestine_anastomosis_14_1.jpg,1,aa_ermak
intestine_anastomosis_11_2.jpg,0,aa_ermak
intestine_anastomosis_12_5.jpg,1,aa_ermak
intestine_anastomosis_14_3.jpg,0,aa_ermak
intestine_anastomosis_12_1.jpg,1,aa_ermak
intestine_anastomosis_14_5.jpg,1,aa_ermak
intestine_anastomosis_15_2.jpg,0,aa_ermak
intestine_anastomosis_15_4.jpg,0,aa_ermak
intestine_anastomosis_16_1.jpg,0,aa_ermak
intestine_anastomosis_16_3.jpg,0,aa_ermak
intestine_anastomosis_16_5.jpg,0,aa_ermak
intestine_anastomosis_17_2.jpg,0,aa_ermak
intestine_anastomosis_17_4.jpg,0,aa_ermak
intestine_anastomosis_18_1.jpg,1,aa_ermak
intestine_anastomosis_18_3.jpg,0,aa_ermak
intestine_anastomosis_18_5.jpg,1,aa_ermak
intestine_anastomosis_19_2.jpg,0,aa_ermak
intestine_anastomosis_19_4.jpg,0,aa_ermak
intestine_anastomosis_1_1.jpg,0,aa_ermak
intestine_anastomosis_1_3.jpg,0,aa_ermak
intestine_anastomosis_1_5.jpg,0,aa_ermak
intestine_anastomosis_20_2.jpg,0,aa_ermak
intestine_anastomosis_20_4.jpg,0,aa_ermak
intestine_anastomosis_21_1.jpg,0,aa_ermak
intestine_anastomosis_21_3.jpg,0,aa_ermak
intestine_anastomosis_21_5.jpg,0,aa_ermak
intestine_anastomosis_2_2.jpg,0,aa_ermak
intestine_anastomosis_2_4.jpg,0,aa_ermak
intestine_anastomosis_3_1.jpg,1,aa_ermak
intestine_anastomosis_3_3.jpg,1,aa_ermak
intestine_anastomosis_3_5.jpg,0,aa_ermak
intestine_anastomosis_4_2.jpg,0,aa_ermak
intestine_anastomosis_4_4.jpg,0,aa_ermak
intestine_anastomosis_5_1.jpg,0,aa_ermak
intestine_anastomosis_5_3.jpg,0,aa_ermak
intestine_anastomosis_5_5.jpg,0,aa_ermak
intestine_anastomosis_6_2.jpg,1,aa_ermak
intestine_anastomosis_6_4.jpg,1,aa_ermak
intestine_anastomosis_7_1.jpg,0,aa_ermak
intestine_anastomosis_7_3.jpg,0,aa_ermak
intestine_anastomosis_7_5.jpg,0,aa_ermak
intestine_anastomosis_8_2.jpg,0,aa_ermak
intestine_anastomosis_8_4.jpg,0,aa_ermak
intestine_anastomosis_9_1.jpg,0,aa_ermak
intestine_anastomosis_9_3.jpg,1,aa_ermak
intestine_anastomosis_9_5.jpg,0,aa_ermak
intestine_anastomosis_15_1.jpg,0,aa_ermak
intestine_anastomosis_15_3.jpg,0,aa_ermak
intestine_anastomosis_16_2.jpg,0,aa_ermak
intestine_anastomosis_17_1.jpg,1,aa_ermak
intestine_anastomosis_17_5.jpg,1,aa_ermak
intestine_anastomosis_18_4.jpg,1,aa_ermak
intestine_anastomosis_19_3.jpg,1,aa_ermak
intestine_anastomosis_1_2.jpg,0,aa_ermak
intestine_anastomosis_20_1.jpg,0,aa_ermak
intestine_anastomosis_20_5.jpg,0,aa_ermak
intestine_anastomosis_21_4.jpg,0,aa_ermak
intestine_anastomosis_2_3.jpg,0,aa_ermak
intestine_anastomosis_3_2.jpg,1,aa_ermak
intestine_anastomosis_4_1.jpg,1,aa_ermak
intestine_anastomosis_4_5.jpg,0,aa_ermak
intestine_anastomosis_5_4.jpg,1,aa_ermak
intestine_anastomosis_6_3.jpg,1,aa_ermak
intestine_anastomosis_7_2.jpg,1,aa_ermak
intestine_anastomosis_8_1.jpg,0,aa_ermak
intestine_anastomosis_8_5.jpg,0,aa_ermak
intestine_anastomosis_9_4.jpg,0,aa_ermak
intestine_anastomosis_15_5.jpg,0,aa_ermak
intestine_anastomosis_17_3.jpg,0,aa_ermak
intestine_anastomosis_19_1.jpg,1,aa_ermak
intestine_anastomosis_1_4.jpg,0,aa_ermak
intestine_anastomosis_21_2.jpg,0,aa_ermak
intestine_anastomosis_2_5.jpg,0,aa_ermak
intestine_anastomosis_4_3.jpg,0,aa_ermak
intestine_anastomosis_6_1.jpg,1,aa_ermak
intestine_anastomosis_7_4.jpg,0,aa_ermak
intestine_anastomosis_9_2.jpg,0,aa_ermak
intestine_anastomosis_16_4.jpg,0,aa_ermak
intestine_anastomosis_18_2.jpg,1,aa_ermak
intestine_anastomosis_20_3.jpg,0,aa_ermak
intestine_anastomosis_3_4.jpg,1,aa_ermak
intestine_anastomosis_6_5.jpg,1,aa_ermak
intestine_anastomosis_13_4.jpg,0,aa_ermak
intestine_anastomosis_19_5.jpg,0,aa_ermak
intestine_anastomosis_2_1.jpg,0,aa_ermak
intestine_anastomosis_8_3.jpg,0,aa_ermak
intestine_anastomosis_5_2.jpg,0,aa_ermak
